id;decision;date;structure;reference_decision;deleted
1;Steel leading-edge Small;2020-06-02;solution;Colombian Peso Unidad de Valor Real Bridge Handmade;false
2;Hollow Shoes systems;2020-06-02;Personal Loan Account;HTTP explicit;false
3;Optimization Cambridgeshire;2020-06-02;Chilean Peso Unidades de fomento Checking Account;invoice Outdoors New York;true
4;North Dakota incubate deposit;2020-06-02;Somalia Web revolutionize;invoice teal analyzing;false
5;utilize;2020-06-02;Credit Card Account;Handcrafted Plastic Shirt quantifying;false
6;open-source hybrid;2020-06-02;Rupiah Personal Loan Account HTTP;schemas Specialist China;false
7;South Dakota Wyoming interface;2020-06-02;Robust Louisiana;Infrastructure SSL bandwidth;true
8;compress Fantastic Global;2020-06-02;navigating encoding;Fantastic Small Frozen Salad bypassing;false
9;Usability;2020-06-02;Borders Borders Practical;methodical;false
10;Danish Krone parse;2020-06-01;back-end Unbranded Cambridgeshire;Designer;false
